发震时刻,经度,纬度,深度（千米）,参考位置,震级
2013/2/12 3:13,92.40 ,38.50 ,10,青海海西州茫崖市,5.1
2013/2/4 20:04,94.76 ,32.87 ,6,青海玉树州杂多县,4.7
2013/2/2 11:39,122.00 ,23.81 ,8,台湾花莲县附近海域,4.8
2013/1/30 17:27,94.70 ,32.90 ,20,青海玉树州杂多县,5.1
2013/1/23 12:18,123.20 ,41.50 ,7,辽宁辽阳市灯塔市,5.1
2013/1/18 20:42,99.40 ,31.00 ,15,四川甘孜州白玉县,5.4
2013/1/17 16:30,122.09 ,24.55 ,9,台湾宜兰县附近海域,4.7
2012/12/31 0:03,120.97 ,23.44 ,10,台湾南投县、嘉义县、高雄县交界,4.8
2012/12/16 18:29,77.91 ,40.04 ,7,新疆克孜勒苏州阿图什市、喀什地区巴楚县交界,4.7
2012/12/8 22:26,122.33 ,25.68 ,281,台湾台北县附近海域,4.7
2012/12/7 22:08,88.00 ,38.70 ,9,新疆巴音郭楞州若羌县,5.1
2012/12/3 1:45,121.61 ,24.12 ,8,台湾花莲县,4.8
2012/11/26 13:33,90.50 ,40.40 ,8,新疆巴音郭楞州若羌县,5.5
2012/11/21 1:09,121.36 ,22.53 ,9,台湾台东县附近海域,4.8
2012/9/14 11:21,82.34 ,43.63 ,6,新疆伊犁州尼勒克县、巩留县交界,4.7
2012/9/11 11:21,99.18 ,24.66 ,10,云南保山市施甸县,4.9
2012/9/7 12:16,104.00 ,27.60 ,10,云南昭通市彝良县,5.6
2012/9/7 11:19,104.00 ,27.50 ,14,云南昭通市彝良县,5.7
2012/9/5 4:00,121.20 ,22.10 ,14,台湾恒春县附近海域,4.9
2012/8/26 13:18,89.91 ,35.27 ,15,青海玉树州治多县,4.8
2012/8/18 4:20,121.59 ,23.41 ,5,台湾台东县附近海域,4.8
2012/8/12 18:49,82.50 ,35.73 ,9,新疆和田地区于田县、西藏阿里地区改则县交界,4.8
2012/8/12 18:47,82.50 ,35.90 ,30,新疆和田地区于田县,6.2
2012/8/11 17:34,78.20 ,40.00 ,9,新疆克孜勒苏州阿图什市,5.2
2012/8/1 17:52,75.50 ,39.73 ,5,新疆克孜勒苏州乌恰县、阿图什市交界,4.9
2012/7/23 4:29,87.21 ,36.23 ,7,西藏那曲地区尼玛县,4.8
2012/7/23 0:44,88.01 ,29.78 ,9,西藏日喀则地区谢通门县,4.7
2012/7/20 20:11,119.57 ,33.04 ,5,江苏扬州市高邮市、宝应县交界,4.9
2012/7/1 3:43,96.37 ,28.51 ,7,西藏林芝地区察隅县,4.7
2012/6/30 5:07,84.80 ,43.40 ,7,新疆巴音郭楞州和静县,6.6
2012/6/24 15:59,100.70 ,27.70 ,11,云南丽江市宁蒗县,5.7
2012/6/17 17:01,121.53 ,23.62 ,9,台湾花莲县附近海域,4.8
2012/6/15 5:51,84.20 ,42.20 ,20,新疆巴音郭楞州轮台县,5.4
2012/6/15 0:15,121.60 ,23.70 ,9,台湾花莲县海域,5.3
2012/6/10 5:00,122.30 ,24.50 ,50,台湾宜兰县海域,5.9
2012/6/6 9:08,121.40 ,22.40 ,20,台湾台东县海域,5.6
2012/6/1 20:32,75.10 ,39.90 ,7,新疆克孜勒苏州乌恰县,5
2012/5/28 10:22,118.47 ,39.71 ,8,河北唐山市市辖区、滦县交界,4.8
2012/5/22 5:38,77.05 ,38.10 ,9,新疆喀什地区泽普县、叶城县交界,4.7
2012/5/19 22:02,87.12 ,33.86 ,8,西藏那曲地区尼玛县,4.7
2012/5/12 9:34,89.48 ,38.24 ,5,新疆巴音郭楞州若羌县,4.9
2012/5/11 18:18,102.00 ,37.75 ,3,甘肃张掖市肃南县、武威市天祝县、青海海北州门源县交界,4.9
2012/5/3 18:19,98.60 ,40.60 ,8,甘肃酒泉市金塔县,5.4
2012/4/19 9:58,121.68 ,24.17 ,15,台湾花莲县附近海域,4.9
2012/4/10 16:08,82.35 ,34.50 ,10,西藏阿里地区日土县,4.8
2012/4/9 5:43,122.30 ,24.10 ,8,台湾花莲县海域,5.5
2012/3/9 6:50,81.30 ,39.40 ,30,新疆和田地区洛浦县,6
2012/3/2 21:40,74.30 ,39.70 ,10,新疆克孜勒苏州乌恰县,5
2012/2/26 10:34,120.75 ,22.75 ,20,台湾屏东县,6
2012/2/20 22:18,79.70 ,35.78 ,5,新疆和田地区和田县,4.8
2012/2/20 21:59,79.80 ,35.90 ,8,新疆和田地区和田县,4.8
2012/2/17 23:44,82.80 ,32.40 ,20,西藏阿里地区革吉县,5.2
2012/2/16 2:34,114.50 ,23.95 ,13,广东河源市东源县,4.8
2012/2/10 2:57,93.10 ,44.90 ,7,新疆哈密市巴里坤县,5.3
2012/1/8 14:20,87.50 ,42.10 ,7,新疆巴音郭楞州和硕县,5
2011/12/26 0:46,103.79 ,31.37 ,17,四川成都市彭州市,4.8
2011/12/1 20:48,76.90 ,38.40 ,10,新疆喀什地区莎车县,5.2
2011/12/1 11:51,83.85 ,31.73 ,10,西藏阿里地区改则县,4.9
2011/11/28 23:06,97.60 ,25.10 ,7,云南德宏州盈江县,5.1
2011/11/8 10:59,125.90 ,27.20 ,220,东海海域,7
2011/11/1 8:21,82.40 ,43.60 ,28,新疆伊犁州巩留县,6
2011/11/1 5:58,105.30 ,32.60 ,20,四川广元市青川县,5.4
2011/10/30 11:23,123.10 ,25.30 ,223,先岛群岛以北海域,5.7
2011/10/21 4:52,81.53 ,35.62 ,6,新疆和田地区于田县、策勒县交界,4.7
2011/10/16 21:44,82.70 ,44.30 ,4,新疆博尔塔拉州精河县,5
2011/10/5 22:40,87.28 ,38.25 ,10,新疆巴音郭楞州若羌县,4.7
2011/9/22 6:18,121.73 ,24.11 ,10,台湾花莲县附近海域,4.7
2011/9/15 23:27,82.45 ,36.45 ,6,新疆和田地区于田县,5.5
2011/8/31 9:13,100.92 ,40.07 ,6,内蒙古阿拉善盟阿拉善右旗,4.8
2011/8/11 18:06,77.20 ,39.90 ,8,新疆克孜勒苏州阿图什市,5.8
2011/8/9 19:50,98.70 ,25.00 ,11,云南保山市腾冲市,5.2
2011/8/2 3:40,87.80 ,33.90 ,10,西藏那曲市双湖县,5.1
2011/7/25 3:05,90.40 ,46.00 ,10,新疆阿勒泰地区青河县,5.2
2011/7/12 19:17,121.52 ,23.55 ,8,台湾花莲县附近海域,4.8
2011/6/26 15:48,95.90 ,32.40 ,10,青海玉树州囊谦县,5.2
2011/6/20 18:16,98.70 ,25.10 ,10,云南保山市腾冲市,5.2
2011/6/8 9:53,88.30 ,43.00 ,5,新疆吐鲁番市托克逊县,5.3
2011/5/22 9:34,121.70 ,24.10 ,10,台湾花莲县,5.2
2011/5/10 23:26,131.20 ,43.30 ,560,吉林延边州珲春市,6.1
2011/4/30 16:35,121.80 ,24.70 ,60,台湾宜兰县,5
2011/4/23 7:11,82.60 ,45.45 ,7,新疆塔城地区托里县、裕民县交界,4.7
2011/4/20 0:27,89.80 ,34.30 ,6,青海海西州格尔木市,4.7
2011/4/16 9:11,124.10 ,25.30 ,130,先岛群岛东北海域,6
2011/4/10 17:02,100.90 ,31.30 ,7,四川甘孜州炉霍县,5.3
2011/3/24 21:55,99.80 ,20.80 ,20,缅甸,7.2
2011/3/20 16:00,121.40 ,22.40 ,30,台湾台东县海域,5.2
2011/3/10 13:03,97.93 ,24.70 ,10,云南德宏州盈江县,4.7
2011/3/10 12:58,97.90 ,24.70 ,10,云南德宏州盈江县,5.8
2011/2/15 15:18,121.10 ,21.20 ,10,台湾屏东县海域,5.1
2011/2/14 3:12,73.68 ,39.47 ,10,中、吉交界,4.8
2011/2/7 22:24,82.16 ,36.17 ,7,新疆和田地区于田县,4.7
2011/2/4 10:39,91.74 ,38.72 ,10,青海海西州、新疆巴音郭楞州若羌县交界,4.8
2011/2/1 16:16,121.80 ,24.20 ,7,台湾花莲县海域,5.3
2011/2/1 15:11,97.90 ,24.70 ,10,云南德宏州盈江县,4.8
2011/1/19 12:07,117.10 ,30.66 ,9,安徽安庆市市辖区、怀宁县交界,4.8
2011/1/12 9:19,123.90 ,33.30 ,10,黄海海域,5
2011/1/8 7:34,131.10 ,43.00 ,560,吉林延边州珲春市,5.6
2011/1/2 7:33,97.91 ,24.71 ,10,云南德宏州盈江县,4.8
2011/1/1 9:56,75.20 ,39.40 ,10,新疆克孜勒苏州乌恰县,5.1
2010/12/30 2:31,86.50 ,30.80 ,30,西藏那曲市尼玛县,5
2010/11/30 16:39,90.40 ,29.80 ,9,西藏拉萨市当雄县,5.2
2010/11/21 20:31,121.60 ,23.90 ,10,台湾花莲县,5.6
2010/11/12 21:08,122.40 ,24.10 ,8,台湾花莲县海域,5
2010/11/8 21:01,120.35 ,23.24 ,6,台湾台南县、嘉义县交界,4.9
2010/11/6 10:12,87.50 ,36.80 ,10,新疆巴音郭楞州且末县,5
2010/10/24 16:58,114.65 ,34.07 ,8,河南周口市太康县、扶沟县、西华县交界,4.7
2010/10/18 4:11,85.82 ,28.31 ,8,西藏日喀则地区聂拉木县,4.7
2010/10/4 21:28,125.30 ,24.20 ,30,琉球群岛西南部,6.1
2010/9/29 1:33,121.75 ,24.14 ,8,台湾花莲县附近海域,4.9
2010/9/10 21:21,105.43 ,29.36 ,7,重庆市荣昌县、四川内江市隆昌县、泸州市泸县交界,4.7
2010/9/7 23:41,73.80 ,39.50 ,7,新疆克孜勒苏州乌恰县,5.6
2010/8/30 16:45,122.20 ,25.00 ,8,台湾宜兰县海域,5.3
2010/8/29 8:53,103.02 ,27.13 ,10,云南昭通市巧家县、四川凉山州宁南县交界地区,4.8
2010/8/22 2:47,121.95 ,24.84 ,9,台湾宜兰县,4.9
2010/8/22 0:37,121.51 ,23.71 ,27,台湾花莲县,4.7
2010/7/27 18:14,94.84 ,30.36 ,8,西藏林芝地区波密县,4.8
2010/7/25 11:52,120.60 ,22.90 ,10,台湾高雄市,5.2
2010/7/18 21:03,122.43 ,24.07 ,7,台湾花莲县附近海域,4.8
2010/7/9 8:41,122.46 ,24.69 ,15,台湾宜兰县附近海域,4.7
2010/7/9 3:43,122.10 ,24.30 ,12,台湾宜兰县海域,5
2010/7/2 21:00,87.76 ,41.91 ,7,新疆巴音郭楞州和硕县,4.7
2010/6/15 8:31,121.70 ,24.10 ,8,台湾花莲县海域,5.5
2010/6/10 14:38,74.70 ,39.90 ,8,新疆克孜勒苏州乌恰县,5.1
2010/6/7 0:42,96.20 ,33.31 ,10,青海玉树州玉树县,4.8
2010/6/4 4:47,96.20 ,33.31 ,7,青海玉树州玉树县,4.8
2010/6/3 13:35,96.30 ,33.30 ,7,青海玉树州玉树市,5.3
2010/5/29 10:29,96.30 ,33.30 ,10,青海玉树州玉树市,5.7
2010/5/26 16:53,129.90 ,25.80 ,10,琉球群岛,6.1
2010/5/25 14:11,103.70 ,31.10 ,10,四川成都市都江堰市,5
2010/5/14 22:46,90.39 ,29.73 ,9,西藏拉萨市当雄县,4.7
2010/4/17 8:58,92.80 ,32.50 ,10,西藏那曲市聂荣县,5.2
2010/4/14 9:25,96.60 ,33.20 ,30,青海玉树州玉树市,6.3
2010/4/14 8:12,96.40 ,33.04 ,6,青海玉树州玉树县,4.7
2010/4/14 8:01,96.89 ,33.00 ,10,青海玉树州玉树县,4.8
2010/4/14 7:49,96.70 ,33.10 ,33,青海玉树州玉树市,7.1
2010/4/14 5:39,96.59 ,33.11 ,6,青海玉树州玉树县,4.7
2010/4/14 4:49,121.40 ,23.10 ,9,台湾台东县海域,5
2010/4/11 12:57,122.02 ,23.40 ,8,台湾花莲海域,4.8
2010/3/24 10:44,92.80 ,32.50 ,7,西藏那曲市聂荣县,5.5
2010/3/24 10:06,93.00 ,32.40 ,8,西藏那曲市聂荣县,5.7
2010/3/23 23:51,74.73 ,37.53 ,6,中、阿、塔交界,4.9
2010/3/23 23:02,74.72 ,37.50 ,7,中、塔交界,4.8
2010/3/10 22:32,86.70 ,36.60 ,10,新疆巴音郭楞州且末县,4.9
2010/3/4 16:16,120.70 ,22.90 ,7,台湾高雄市,5.2
2010/3/4 8:18,120.60 ,22.90 ,6,台湾高雄市,6.7
2010/2/27 4:31,128.60 ,25.90 ,33,琉球群岛,7.2
2010/2/26 12:42,86.80 ,28.40 ,33,西藏日喀则市定日县,5
2010/2/26 9:07,122.80 ,23.80 ,8,台湾花莲县海域,5.1
2010/2/25 12:56,101.90 ,25.40 ,16,云南楚雄州禄丰市,5.1
2010/2/22 13:21,122.90 ,24.10 ,33,台湾花莲海域,5.1
2010/2/18 9:13,130.80 ,42.60 ,540,吉林延边州珲春市东部海域,6.5
2010/2/12 10:42,121.13 ,23.93 ,8,台湾南投县,4.7
2010/2/7 14:10,123.70 ,23.50 ,33,琉球群岛西南部,6.3
2010/1/31 5:36,105.70 ,30.30 ,10,四川遂宁市安居区,5
2010/1/24 10:36,110.76 ,35.57 ,12,山西运城市河津市、万荣县交界,4.8
2010/1/16 13:44,88.46 ,35.78 ,7,西藏那曲地区尼玛县,4.8
2010/1/5 3:27,121.75 ,24.27 ,8,台湾花莲海域,4.8
2010/1/1 10:22,84.00 ,30.90 ,10,西藏日喀则市仲巴县,5
2009/12/21 13:15,96.70 ,37.50 ,10,青海海西州德令哈市,5
2009/12/21 5:31,123.01 ,44.49 ,8,吉林白城市通榆县、松原市长岭县、内蒙古通辽市科尔沁左翼中旗交界,4.7
2009/12/19 21:02,121.70 ,23.80 ,30,台湾花莲县海域,6.7
2009/12/14 0:03,94.50 ,41.90 ,4,新疆哈密市伊州区,5.1
2009/12/6 12:33,77.44 ,35.93 ,12,新疆喀什地区叶城县,4.8
2009/11/28 0:04,103.90 ,31.30 ,21,四川德阳市什邡市,5
2009/11/23 15:25,103.23 ,31.00 ,21,四川阿坝州汶川县,4.8
2009/11/8 4:08,86.10 ,29.40 ,33,西藏日喀则市萨嘎县,5.6
2009/11/5 19:34,120.70 ,23.90 ,6,台湾南投县,5.4
2009/11/5 17:32,120.70 ,23.90 ,7,台湾南投县,5.9
2009/11/5 5:56,95.80 ,37.60 ,6,青海海西州直辖区,5.1
2009/11/2 5:07,100.70 ,26.00 ,10,云南大理州宾川县,5
2009/10/30 15:03,130.10 ,29.10 ,60,琉球群岛,6.8
2009/10/29 21:28,105.19 ,32.58 ,10,四川广元市青川县、甘肃陇南市文县交界,4.8
2009/10/25 19:40,80.40 ,34.90 ,10,西藏阿里地区日土县,4.7
2009/10/20 0:42,104.54 ,32.05 ,22,四川绵阳市北川县、平武县交界,4.9
2009/10/16 10:56,77.01 ,39.94 ,6,新疆克孜勒苏州阿图什市、喀什地区伽师县交界,4.8
2009/10/4 1:36,121.60 ,23.70 ,10,台湾花莲县海域,6.2
2009/10/2 21:49,96.10 ,39.62 ,10,甘肃酒泉市肃北县,4.9
2009/9/29 14:01,83.26 ,30.84 ,10,西藏阿里地区改则县,4.8
2009/9/19 16:54,105.60 ,32.80 ,7,陕西汉中市宁强县,5.1
2009/9/18 15:02,95.68 ,37.68 ,5,青海海西州,4.9
2009/9/18 7:14,97.05 ,41.65 ,10,甘肃酒泉市肃北县,4.8
2009/9/10 8:20,95.84 ,37.51 ,7,青海海西州,4.7
2009/8/31 18:15,95.90 ,37.70 ,10,青海海西州德令哈市,5.9
2009/8/31 1:15,95.70 ,37.70 ,7,青海海西州直辖区,5
2009/8/29 0:28,95.80 ,37.70 ,7,青海海西州德令哈市,5
2009/8/28 10:14,95.80 ,37.60 ,7,青海海西州直辖区,5.3
2009/8/28 9:52,95.80 ,37.60 ,7,青海海西州直辖区,6.4
2009/8/17 18:10,123.60 ,23.30 ,10,日本琉球群岛西南部,6.1
2009/8/17 8:05,123.70 ,23.50 ,33,日本琉球群岛西南部,6.5
2009/8/10 20:42,130.59 ,43.56 ,570,吉林延边州汪清县、黑龙江牡丹江市东宁县交界,4.8
2009/8/9 12:02,81.70 ,35.54 ,5,新疆和田地区于田县,4.8
2009/8/5 8:17,125.20 ,24.20 ,35,琉球群岛西南部,6.2
2009/7/30 0:53,120.25 ,22.12 ,10,台湾屏东县海域,5.3
2009/7/26 14:10,121.40 ,23.40 ,9,台湾花莲县,5.3
2009/7/26 9:00,121.00 ,23.70 ,6,台湾南投县,5.3
2009/7/24 11:11,86.10 ,31.30 ,33,西藏那曲市尼玛县,5.6
2009/7/16 18:48,122.30 ,24.10 ,10,台湾花莲县海域,5.2
2009/7/14 4:28,122.20 ,24.10 ,6,台湾花莲县海域,5
2009/7/14 2:05,122.20 ,24.10 ,6,台湾花莲县海域,6.7
2009/7/13 0:01,101.04 ,25.54 ,8,云南楚雄州姚安县,4.7
2009/7/10 17:02,101.00 ,25.60 ,14,云南楚雄州姚安县,5.2
2009/7/9 19:19,101.10 ,25.60 ,10,云南楚雄州姚安县,6
2009/7/1 8:29,73.40 ,39.70 ,40,吉尔吉斯斯坦,5
2009/6/30 15:22,104.00 ,31.50 ,20,四川德阳市绵竹市,5
2009/6/30 2:03,104.10 ,31.40 ,20,四川德阳市绵竹市,5.6
2009/6/28 17:34,121.82 ,24.17 ,7,台湾花莲县海域,5.1
2009/5/21 20:33,77.60 ,36.40 ,96,新疆喀什地区叶城县,5.2
2009/4/22 17:26,77.40 ,40.10 ,7,新疆克孜勒苏州阿图什市,5
2009/4/19 12:08,78.30 ,41.30 ,7,新疆克孜勒苏州阿合奇县,5.5
2009/4/18 11:56,130.70 ,42.70 ,540,吉林延边州珲春市东部海域,5.3
2009/3/22 20:48,104.20 ,26.95 ,10,贵州毕节地区威宁县,4.7
2009/3/12 16:25,105.04 ,32.42 ,10,四川广元市青川县,4.7
2009/2/20 18:02,78.70 ,40.70 ,6,新疆阿克苏地区柯坪县,5.2
2009/2/18 18:11,83.92 ,30.83 ,24,西藏日喀则地区仲巴县,4.8
2009/2/10 5:24,121.17 ,22.60 ,9,台湾台东海域,4.7
2009/1/25 9:47,80.82 ,43.37 ,5,新疆伊犁州察布查尔县,5
2009/1/15 2:23,103.22 ,31.27 ,15,四川阿坝州汶川县,5.1
2009/1/4 6:04,121.85 ,24.17 ,5,台湾花莲县海域,5
2009/1/2 19:00,104.21 ,31.92 ,19,四川绵阳市北川县,4.7
2008/12/23 8:04,120.47 ,23.00 ,10,台湾高雄市,5.2
2008/12/11 20:31,81.33 ,35.17 ,16,西藏日土,4.9
2008/12/11 20:31,81.45 ,35.33 ,7,西藏日土,4.8
2008/12/10 2:53,105.37 ,32.57 ,15,四川广元市青川县,5
2008/12/8 16:59,82.10 ,29.90 ,8,西藏日喀则市仲巴县,5.2
2008/12/8 5:18,122.10 ,23.90 ,20,台湾花莲县海域,5.2
2008/12/2 11:16,121.43 ,23.42 ,30,台湾台东县,5.1
2008/11/18 7:52,88.30 ,29.68 ,7,西藏谢通门,4.8
2008/11/16 6:59,104.63 ,32.22 ,22,四川绵阳市平武县,5.1
2008/11/12 20:09,95.97 ,37.73 ,10,青海大柴旦,4.9
2008/11/12 5:56,96.02 ,37.83 ,10,青海海西州德令哈市,5.1
2008/11/10 9:22,95.73 ,37.63 ,10,青海海西州直辖区,6.3
2008/11/6 22:23,74.02 ,39.50 ,8,新疆乌恰,4.8
2008/10/23 13:50,73.83 ,39.52 ,5,中塔吉交界,4.7
2008/10/14 0:05,73.67 ,39.42 ,8,新疆克孜勒苏州阿克陶县,5.3
2008/10/13 17:23,73.60 ,39.45 ,8,新疆克孜勒苏州阿克陶县,5.3
2008/10/9 11:13,73.77 ,39.47 ,8,中塔吉交界,4.7
2008/10/8 22:07,90.40 ,29.80 ,9,西藏拉萨市当雄县,5.4
2008/10/6 20:10,90.40 ,29.60 ,10,西藏拉萨市当雄县,5.2
2008/10/6 16:30,90.30 ,29.80 ,8,西藏拉萨市当雄县,6.6
2008/10/6 15:50,73.70 ,39.47 ,4,新疆阿克陶,4.7
2008/10/6 0:11,73.68 ,39.40 ,33,新疆克孜勒苏州阿克陶县,5.7
2008/10/5 23:55,73.37 ,39.42 ,13,新疆克孜勒苏州阿克陶县,6.3
2008/10/5 23:52,74.03 ,39.45 ,33,新疆克孜勒苏州乌恰县,6.8
2008/9/25 9:47,83.60 ,30.80 ,20,西藏日喀则市仲巴县,6
2008/9/12 1:38,105.62 ,32.95 ,6,甘肃陇南市康县,5.5
2008/9/10 19:55,122.20 ,25.13 ,,台湾台北海域,4.7
2008/9/10 9:28,83.60 ,31.00 ,33,西藏日喀则市仲巴县,5.2
2008/9/10 9:14,83.60 ,31.00 ,33,西藏日喀则市仲巴县,5.1
2008/9/9 15:43,122.37 ,24.67 ,96,台湾宜兰县海域,5.2
2008/8/31 17:34,101.92 ,26.22 ,7,四川会理,4.8
2008/8/31 16:31,101.90 ,26.22 ,10,四川攀枝花市仁和区,5.6
2008/8/31 5:31,83.48 ,30.60 ,5,西藏仲巴,4.8
2008/8/30 20:46,83.85 ,42.72 ,10,新疆巴音郭楞州和静县,5.3
2008/8/30 16:30,101.92 ,26.28 ,10,四川攀枝花市仁和区,6.1
2008/8/27 7:54,83.23 ,30.38 ,3,西藏仲巴,4.7
2008/8/26 3:13,83.40 ,30.37 ,33,西藏日喀则市仲巴县,5
2008/8/25 22:16,83.53 ,30.67 ,7,西藏仲巴,4.8
2008/8/25 21:39,83.60 ,31.00 ,10,西藏日喀则市仲巴县,5.2
2008/8/25 21:22,83.65 ,30.93 ,10,西藏日喀则市仲巴县,6.8
2008/8/22 20:06,97.97 ,24.98 ,10,云南盈江,4.7
2008/8/21 20:24,97.95 ,25.08 ,10,云南德宏州盈江县,5.9
2008/8/21 20:20,97.92 ,25.10 ,7,云南盈江,4.9
2008/8/20 5:35,97.93 ,25.12 ,10,云南德宏州盈江县,5
2008/8/18 22:11,92.02 ,33.90 ,10,青海唐古拉山,4.9
2008/8/15 1:06,103.22 ,31.02 ,18,四川汶川,4.7
2008/8/13 5:03,104.22 ,31.83 ,31,四川北川,4.9
2008/8/11 22:10,81.35 ,35.13 ,8,西藏日土,4.7
2008/8/7 16:15,104.60 ,32.13 ,10,四川绵阳市平武县,5
2008/8/5 17:49,105.45 ,32.77 ,10,四川广元市青川县,6.1
2008/8/2 2:12,105.17 ,32.50 ,10,四川省广元市青川县,4.9
2008/8/1 16:32,104.65 ,32.08 ,20,四川绵阳市平武县,6.1
2008/7/24 15:09,105.48 ,32.83 ,10,四川广元市青川县,6
2008/7/24 13:30,105.50 ,32.83 ,10,四川省广元市青川县、陕西省汉中市宁强县交界,4.9
2008/7/24 3:54,105.50 ,32.83 ,10,四川广元市青川县,5.6
2008/7/18 20:46,87.38 ,37.40 ,,新疆且末,4.9
2008/7/18 0:40,104.10 ,31.68 ,29,四川安县,4.7
2008/7/17 6:58,92.10 ,33.20 ,33,青海海西州格尔木市,5.3
2008/7/15 17:26,104.00 ,31.57 ,15,四川德阳市绵竹市,5
2008/7/13 22:58,120.77 ,21.05 ,10,台湾屏东县海域,6
2008/7/12 5:35,120.88 ,21.23 ,33,台湾屏东县海域,5.2
2008/7/3 4:23,88.28 ,35.82 ,33,西藏那曲市双湖县,5.1
2008/6/29 20:47,88.30 ,35.77 ,33,西藏那曲市双湖县,5.5
2008/6/20 6:36,91.93 ,33.20 ,5,青海唐古拉山,4.7
2008/6/18 16:12,91.97 ,33.15 ,33,青海海西州格尔木市,5
2008/6/18 13:23,91.18 ,35.27 ,33,青海玉树州治多县,5.4
2008/6/11 6:23,103.25 ,30.90 ,33,四川阿坝州汶川县,5
2008/6/10 22:15,91.90 ,33.03 ,33,青海海西州格尔木市,5.4
2008/6/10 19:04,91.90 ,33.30 ,33,青海海西州格尔木市,5.1
2008/6/10 18:04,91.90 ,33.20 ,33,青海海西州格尔木市,5.5
2008/6/10 14:05,122.60 ,49.07 ,14,内蒙古呼伦贝尔市鄂伦春旗,5.2
2008/6/9 15:28,103.72 ,31.35 ,33,四川成都市彭州市,5
2008/6/9 1:56,92.42 ,33.32 ,33,青海海西州格尔木市,5
2008/6/8 18:51,104.25 ,31.88 ,5,四川北川,4.7
2008/6/8 6:14,105.13 ,32.53 ,33,四川青川县,4.7
2008/6/5 12:41,105.00 ,32.37 ,33,四川广元市青川县,5
2008/6/2 0:59,121.63 ,24.92 ,96,台湾新北市,5
2008/6/1 9:57,121.13 ,20.30 ,,巴坦群岛海域,6.3
2008/5/28 1:35,105.38 ,32.65 ,33,四川青川县,4.7
2008/5/27 21:59,105.18 ,32.55 ,33,四川青川县,4.7
2008/5/27 16:37,105.65 ,32.78 ,33,陕西汉中市宁强县,5.7
2008/5/27 16:03,105.50 ,32.87 ,33,陕西汉中市宁强县,5.4
2008/5/25 17:34,104.95 ,33.02 ,12,甘肃文县,4.9
2008/5/25 16:21,105.33 ,32.55 ,33,四川广元市青川县,6.4
2008/5/22 15:18,103.57 ,31.23 ,2,四川汶川、都江堰交界,4.7
2008/5/20 1:52,104.93 ,32.27 ,33,四川绵阳市平武县,5
2008/5/19 14:06,105.25 ,32.55 ,33,四川广元市青川县,5.4
2008/5/19 12:08,105.02 ,32.18 ,33,四川江油市,4.8
2008/5/18 1:08,104.90 ,32.25 ,33,四川绵阳市平武县,6
2008/5/17 4:16,103.48 ,31.32 ,33,四川阿坝州汶川县,5
2008/5/17 0:14,103.42 ,31.18 ,33,四川阿坝州汶川县,5.1
2008/5/16 13:25,103.18 ,31.35 ,33,四川阿坝州理县,5.9
2008/5/16 11:34,103.95 ,31.47 ,42,四川绵竹,4.7
2008/5/15 5:01,104.13 ,31.72 ,33,四川阿坝州茂县,5
2008/5/14 18:00,105.05 ,32.40 ,33,四川青川县,4.8
2008/5/14 17:26,103.90 ,31.42 ,33,四川德阳市什邡市,5.1
2008/5/14 13:54,104.05 ,31.93 ,22,四川北川,4.7
2008/5/14 10:54,103.38 ,31.32 ,33,四川阿坝州汶川县,5.6
2008/5/14 2:27,121.08 ,22.73 ,33,台湾台东县,5.1
2008/5/13 16:20,103.72 ,31.38 ,,四川彭州,4.9
2008/5/13 15:53,104.88 ,32.30 ,33,四川青川县,4.8
2008/5/13 15:19,105.02 ,32.37 ,33,四川青川县,4.8
2008/5/13 15:07,103.20 ,30.95 ,33,四川阿坝州汶川县,6.1
2008/5/13 7:54,103.50 ,31.30 ,33,四川阿坝州汶川县,5.1
2008/5/13 7:46,103.35 ,31.28 ,33,四川阿坝州汶川县,5.3
2008/5/13 4:51,105.25 ,32.53 ,33,四川青川县,4.7
2008/5/13 4:45,104.25 ,31.75 ,33,四川绵阳市安州区,5.2
2008/5/13 4:08,103.82 ,31.42 ,33,四川成都市彭州市,5.7
2008/5/13 1:54,103.42 ,31.28 ,19,四川阿坝州汶川县,5
2008/5/13 1:29,103.38 ,31.30 ,14,四川汶川,4.7
2008/5/12 23:28,103.33 ,31.00 ,33,四川阿坝州汶川县,5
2008/5/12 23:05,103.47 ,31.32 ,21,四川汶川,4.8
2008/5/12 23:05,103.57 ,31.25 ,17,四川阿坝州汶川县,5
2008/5/12 22:46,105.50 ,32.73 ,33,四川广元市青川县,5.1
2008/5/12 21:40,103.38 ,31.03 ,33,四川阿坝州汶川县,5.1
2008/5/12 19:52,105.22 ,32.58 ,15,四川青川县,4.7
2008/5/12 19:10,103.42 ,31.30 ,33,四川阿坝州汶川县,6
2008/5/12 18:23,103.28 ,30.93 ,15,四川阿坝州汶川县,5
2008/5/12 17:42,103.92 ,31.55 ,33,四川德阳市绵竹市,5.2
2008/5/12 17:07,103.58 ,31.25 ,33,四川成都市都江堰市,5
2008/5/12 16:47,105.50 ,32.10 ,33,四川剑阁县,4.8
2008/5/12 16:21,104.10 ,31.30 ,33,四川德阳市绵竹市,5.2
2008/5/12 15:40,103.62 ,31.20 ,,四川都江堰,4.8
2008/5/12 15:34,103.55 ,31.28 ,10,四川阿坝州汶川县,5
2008/5/12 15:31,103.40 ,30.92 ,13,四川崇州,4.8
