发震时刻,经度,纬度,深度（千米）,参考位置,震级
2024/7/5 6:04,84.15 ,40.86 ,20,新疆巴音郭楞州尉犁县,4.8
2024/6/24 13:36,84.10 ,40.95 ,18,新疆巴音郭楞州尉犁县,4.9
2024/6/23 22:27,121.71 ,23.84 ,19,台湾花莲县海域,4.9
2024/6/20 19:36,77.68 ,40.21 ,10,新疆克孜勒苏州阿图什市,4.8
2024/6/12 11:48,97.46 ,33.61 ,10,四川甘孜州石渠县,4.7
2024/6/11 1:35,84.15 ,40.89 ,20,新疆巴音郭楞州尉犁县,5
2024/6/1 8:46,86.39 ,34.17 ,5,西藏那曲市尼玛县,5.8
2024/6/1 8:46,86.36 ,34.14 ,8,西藏那曲市尼玛县,5.9
2024/6/1 1:10,121.59 ,24.01 ,10,台湾花莲县,5.2
2024/6/1 1:10,121.61 ,24.08 ,15,台湾花莲县,4.9
2024/5/27 11:07,100.61 ,28.24 ,6.67,四川凉山州木里县,4.7
2024/5/27 11:07,100.70 ,28.25 ,8,四川凉山州木里县,5
2024/5/22 16:00,121.74 ,23.80 ,10,台湾花莲县海域,5
2024/5/20 13:10,77.02 ,40.27 ,11,新疆克孜勒苏州阿图什市,5.5
2024/5/20 13:10,77.05 ,40.28 ,19,新疆克孜勒苏州阿图什市,5.2
2024/5/19 3:38,77.18 ,36.49 ,5,新疆喀什地区叶城县,4.8
2024/5/10 15:45,121.89 ,24.22 ,10,台湾花莲县海域,5.6
2024/5/6 17:52,121.57 ,23.70 ,25,台湾花莲县海域,5.2
2024/5/6 17:52,121.56 ,23.75 ,14,台湾花莲县,5.3
2024/5/6 17:45,121.62 ,23.71 ,20,台湾花莲县海域,5.3
2024/5/6 17:45,121.62 ,23.77 ,15,中国台湾,5.3
2024/4/27 2:49,121.77 ,24.21 ,27,台湾花莲县海域,5.3
2024/4/27 2:21,121.77 ,24.08 ,30,台湾花莲县海域,5.6
2024/4/25 2:11,122.21 ,24.09 ,31.67,中国台湾地区,5.2
2024/4/25 2:11,122.31 ,23.95 ,10,台湾花莲县海域,5
2024/4/23 10:21,121.60 ,23.82 ,10,台湾花莲县海域,5
2024/4/23 9:45,121.58 ,23.80 ,10,台湾花莲县海域,5
2024/4/23 8:04,121.59 ,23.87 ,10,台湾花莲县,6
2024/4/23 5:31,121.60 ,23.81 ,10,台湾花莲县海域,5.3
2024/4/23 5:24,121.49 ,23.73 ,10,台湾花莲县,5
2024/4/23 5:19,121.58 ,23.76 ,10,台湾花莲县海域,5.2
2024/4/23 5:14,121.51 ,23.75 ,10,台湾花莲县,4.8
2024/4/23 5:04,121.52 ,23.69 ,10,台湾花莲县,5.1
2024/4/23 4:52,121.48 ,23.81 ,8,台湾花莲县,4.8
2024/4/23 4:49,121.58 ,23.69 ,10,台湾花莲县海域,5.8
2024/4/23 4:03,121.61 ,23.80 ,10,台湾花莲县海域,4.8
2024/4/23 3:19,121.57 ,23.88 ,10,台湾花莲县,4.8
2024/4/23 2:32,121.53 ,23.81 ,10,台湾花莲县,6.2
2024/4/23 2:26,121.68 ,23.70 ,10,台湾花莲县海域,6.3
2024/4/22 22:11,121.49 ,23.79 ,9,台湾花莲县,5.9
2024/4/22 21:13,121.54 ,23.67 ,10,台湾花莲县,5.1
2024/4/22 19:45,121.58 ,23.70 ,10,台湾花莲县海域,4.8
2024/4/22 19:25,121.45 ,23.75 ,10,台湾花莲县,4.8
2024/4/22 19:13,121.68 ,23.81 ,11,台湾花莲县海域,4.9
2024/4/22 18:50,121.51 ,23.76 ,10,台湾花莲县,5.7
2024/4/22 18:49,121.57 ,23.70 ,10,台湾花莲县海域,4.9
2024/4/22 18:46,121.59 ,23.74 ,10,台湾花莲县海域,5.3
2024/4/22 17:52,121.61 ,23.78 ,9,台湾花莲县海域,4.7
2024/4/22 17:12,121.55 ,23.78 ,8,台湾花莲县,4.9
2024/4/22 17:08,121.59 ,23.72 ,10,台湾花莲县海域,5.3
2024/4/21 10:40,121.60 ,23.49 ,20,台湾花莲县海域,5
2024/4/17 12:22,82.50 ,42.00 ,17,新疆阿克苏地区拜城县,4.7
2024/4/13 13:44,81.84 ,33.56 ,10,西藏阿里地区日土县,5.2
2024/4/12 16:13,78.69 ,41.07 ,5,新疆克孜勒苏州阿合奇县,5
2024/4/12 16:13,78.60 ,41.12 ,10,新疆克孜勒苏州阿合奇县,4.8
2024/4/10 22:56,82.57 ,41.93 ,5,新疆阿克苏地区拜城县,5.8
2024/4/10 22:56,82.56 ,41.98 ,16,新疆阿克苏地区拜城县,5.6
2024/4/10 18:57,82.37 ,41.84 ,5.5,新疆阿克苏地区拜城县,5.1
2024/4/10 18:57,82.36 ,41.88 ,20,新疆阿克苏地区拜城县,4.8
2024/4/9 22:07,100.05 ,27.88 ,10,云南迪庆州香格里拉市,4.7
2024/4/8 4:48,82.07 ,41.83 ,5.5,新疆阿克苏地区拜城县,5.3
2024/4/8 4:47,82.07 ,41.93 ,18,新疆阿克苏地区拜城县,5.1
2024/4/7 18:01,121.95 ,24.20 ,24.26,中国台湾,4.8
2024/4/7 18:01,122.25 ,24.10 ,20,台湾花莲县海域,4.8
2024/4/7 16:46,82.14 ,41.94 ,17,新疆阿克苏地区拜城县,5.4
2024/4/6 18:47,121.79 ,23.91 ,25,台湾花莲县海域,4.8
2024/4/6 10:29,103.49 ,27.01 ,6.67,云南曲靖市会泽县,4.7
2024/4/6 10:29,103.44 ,27.01 ,10,云南昭通市鲁甸县,4.9
2024/4/5 12:50,121.87 ,24.08 ,22,台湾花莲县海域,4.8
2024/4/5 2:35,121.81 ,24.15 ,26,台湾花莲县海域,4.8
2024/4/5 2:34,121.64 ,23.99 ,5,中国台湾,4.7
2024/4/4 8:39,90.95 ,38.38 ,12.5,青海海西州茫崖市,5.5
2024/4/4 8:39,90.93 ,38.39 ,10,青海海西州茫崖市,5.5
2024/4/4 2:29,121.91 ,23.79 ,14,台湾花莲县海域,4.8
2024/4/3 10:28,121.80 ,24.22 ,10,台湾花莲县海域,5.1
2024/4/3 10:28,121.88 ,24.23 ,9,中国台湾,5
2024/4/3 10:14,121.76 ,24.14 ,10,台湾花莲县海域,5.6
2024/4/3 10:14,121.89 ,24.17 ,56.5,中国台湾,5.6
2024/4/3 9:49,122.08 ,23.74 ,12,台湾花莲县海域,4.7
2024/4/3 9:39,121.84 ,23.84 ,26.89,中国台湾,5.1
2024/4/3 9:39,121.89 ,23.80 ,10,台湾花莲县海域,5.6
2024/4/3 9:09,121.79 ,24.06 ,10,台湾花莲县海域,5
2024/4/3 8:50,121.63 ,23.80 ,11,台湾花莲县海域,4.9
2024/4/3 8:46,121.81 ,24.07 ,10,台湾花莲县海域,5.5
2024/4/3 8:43,121.57 ,23.94 ,10,台湾花莲县,5.2
2024/4/3 8:35,121.53 ,24.18 ,10,台湾花莲县,5.9
2024/4/3 8:11,121.65 ,24.10 ,10,台湾花莲县海域,6
2024/4/3 7:58,121.62 ,23.86 ,20.38,中国台湾,7.4
2024/4/3 7:58,121.74 ,23.81 ,12,台湾花莲县海域,7.3
2024/3/14 16:36,82.31 ,41.86 ,5,新疆阿克苏地区拜城县,4.7
2024/3/7 18:06,93.05 ,33.53 ,24.5,青海玉树州杂多县,5.2
2024/3/7 18:06,93.01 ,33.58 ,10,青海玉树州杂多县,5.5
2024/3/6 8:10,78.81 ,41.22 ,5,新疆阿克苏地区乌什县,5
2024/3/6 8:09,78.70 ,41.28 ,10,新疆阿克苏地区乌什县,4.7
2024/3/5 10:07,93.06 ,33.53 ,22,青海玉树州杂多县,4.8
2024/3/5 10:07,93.01 ,33.52 ,10,青海玉树州杂多县,5.3
2024/2/25 12:15,78.57 ,41.06 ,5,新疆克孜勒苏州阿合奇县,5.9
2024/2/25 12:14,78.41 ,41.15 ,11,新疆克孜勒苏州阿合奇县,5.8
2024/2/24 6:58,78.65 ,41.05 ,5,新疆克孜勒苏州阿合奇县,5.3
2024/2/24 6:58,78.54 ,41.12 ,10,新疆克孜勒苏州阿合奇县,5.3
2024/2/20 18:58,94.34 ,42.96 ,5,新疆新星市,4.8
2024/2/15 11:52,78.88 ,41.21 ,5,新疆阿克苏地区乌什县,4.7
2024/2/15 11:52,78.78 ,41.30 ,10,新疆阿克苏地区乌什县,4.7
2024/2/4 9:18,78.73 ,41.09 ,5,新疆克孜勒苏州阿合奇县,4.7
2024/2/3 21:44,78.71 ,41.06 ,5,新疆克孜勒苏州阿合奇县,4.8
2024/2/3 21:44,78.61 ,41.11 ,12,新疆克孜勒苏州阿合奇县,4.7
2024/1/30 6:27,78.74 ,41.08 ,5,新疆克孜勒苏州阿合奇县,5.8
2024/1/30 6:27,78.67 ,41.15 ,10,新疆克孜勒苏州阿合奇县,5.7
2024/1/29 2:11,121.34 ,23.64 ,10,台湾花莲县,4.7
2024/1/27 17:03,78.75 ,41.12 ,5,新疆阿克苏地区乌什县,4.9
2024/1/27 17:03,78.65 ,41.19 ,15,新疆克孜勒苏州阿合奇县,4.7
2024/1/26 4:01,78.91 ,41.27 ,5,新疆阿克苏地区乌什县,5.8
2024/1/26 4:01,78.83 ,41.29 ,18,新疆阿克苏地区乌什县,5.6
2024/1/25 9:24,78.69 ,41.07 ,5,新疆克孜勒苏州阿合奇县,4.8
2024/1/25 9:24,78.59 ,41.11 ,18,新疆克孜勒苏州阿合奇县,4.8
2024/1/25 6:21,78.70 ,41.03 ,5,新疆克孜勒苏州阿合奇县,5.3
2024/1/25 6:21,78.55 ,41.08 ,15,新疆克孜勒苏州阿合奇县,5.2
2024/1/24 4:38,78.65 ,41.06 ,10,新疆克孜勒苏州阿合奇县,5.7
2024/1/23 17:07,78.74 ,41.09 ,5,新疆克孜勒苏州阿合奇县,4.7
2024/1/23 12:01,78.91 ,41.23 ,5,新疆阿克苏地区乌什县,4.8
2024/1/23 12:01,78.82 ,41.31 ,10,新疆阿克苏地区乌什县,4.7
2024/1/23 9:18,78.85 ,41.17 ,5,新疆阿克苏地区乌什县,5.2
2024/1/23 9:18,78.84 ,41.19 ,10,新疆阿克苏地区乌什县,5.2
2024/1/23 7:19,78.89 ,41.13 ,5,新疆阿克苏地区乌什县,5.5
2024/1/23 7:19,78.71 ,41.21 ,15,新疆阿克苏地区乌什县,5.2
2024/1/23 5:43,78.61 ,41.18 ,13,新疆克孜勒苏州阿合奇县,4.7
2024/1/23 3:36,78.73 ,41.08 ,5,新疆克孜勒苏州阿合奇县,5.2
2024/1/23 3:36,78.66 ,41.11 ,20,新疆克孜勒苏州阿合奇县,5.3
2024/1/23 2:42,78.87 ,41.25 ,5,新疆阿克苏地区乌什县,5.3
2024/1/23 2:42,78.70 ,41.33 ,14,新疆阿克苏地区乌什县,5.2
2024/1/23 2:32,78.63 ,40.95 ,5,新疆克孜勒苏州阿合奇县,4.7
2024/1/23 2:09,78.63 ,41.26 ,22,新疆阿克苏地区乌什县,7.1
2024/1/22 12:33,81.10 ,41.93 ,5,新疆阿克苏地区拜城县,5.1
2024/1/22 12:33,81.11 ,41.97 ,16,新疆阿克苏地区拜城县,4.8
2023/12/31 22:27,105.00 ,36.74 ,10,甘肃白银市平川区,4.9
2023/12/19 9:46,77.86 ,40.02 ,10,新疆克孜勒苏州阿图什市,5.5
2023/12/18 23:59,102.79 ,35.70 ,10,甘肃临夏州积石山县,6.2
2023/12/2 1:36,98.08 ,24.26 ,10,云南德宏州芒市,5
2023/12/1 22:55,97.27 ,39.30 ,9,甘肃酒泉市肃北县,5
2023/11/26 12:31,122.50 ,24.00 ,18,台湾花莲县海域,4.8
2023/11/11 0:54,121.70 ,23.42 ,30,台湾台东县海域,4.7
2023/11/8 2:09,77.72 ,40.47 ,10,新疆克孜勒苏州阿图什市,5.4
2023/10/24 19:32,97.28 ,39.43 ,10,甘肃酒泉市肃北县,5.5
2023/10/24 7:05,122.83 ,23.96 ,10,台湾花莲县海域,5.9
2023/10/23 14:10,91.30 ,33.57 ,10,青海海西州唐古拉地区,4.7
2023/10/23 3:20,117.39 ,23.32 ,10,广东汕头市南澳县海域,5
2023/10/22 23:14,97.33 ,39.38 ,10,甘肃酒泉市肃北县,4.7
2023/10/14 15:53,122.31 ,24.03 ,20,台湾花莲县海域,4.9
2023/10/11 18:36,121.32 ,23.24 ,14,台湾花莲县,5.4
